siteID,date,element,data_value,measurement_flag,quality_flag,source_flag,obs_time,location
US1NYKN0025,20190101,PRCP,358,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190101,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190101,PRCP,361,NA,NA,N,0700,Manhattan
US1NYQN0027,20190101,PRCP,351,NA,NA,N,0700,Queens
US1NYQN0029,20190101,PRCP,376,NA,NA,N,0700,Queens
US1NYRC0001,20190101,PRCP,302,NA,NA,N,0600,Staten
US1NYRC0002,20190101,PRCP,302,NA,NA,N,0800,Staten
US1NYKN0025,20190102,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190102,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190102,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190102,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190102,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190102,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190102,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190102,PRCP,0,NA,NA,N,0800,Staten
US1NYRC0002,20190102,SNOW,0,NA,NA,N,0800,Staten
US1NYKN0025,20190103,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190103,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYQN0027,20190103,PRCP,0,T,NA,N,0700,Queens
US1NYQN0029,20190103,PRCP,0,T,NA,N,0700,Queens
US1NYRC0001,20190103,PRCP,3,NA,NA,N,0600,Staten
US1NYRC0002,20190103,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190103,SNOW,0,NA,NA,N,0700,Staten
US1NYNY0074,20190104,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190104,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190104,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190104,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190104,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190104,SNOW,0,NA,NA,N,0700,Staten
US1NYNY0074,20190105,PRCP,84,NA,NA,N,2100,Manhattan
US1NYQN0027,20190105,PRCP,61,NA,NA,N,0639,Queens
US1NYQN0029,20190105,DAPR,2,NA,NA,N,0700,Queens
US1NYQN0029,20190105,MDPR,43,NA,NA,N,0700,Queens
US1NYRC0001,20190105,PRCP,130,NA,NA,N,0600,Staten
US1NYRC0002,20190105,PRCP,58,NA,NA,N,0800,Staten
US1NYNY0074,20190106,PRCP,58,NA,NA,N,0700,Manhattan
US1NYQN0027,20190106,PRCP,79,NA,NA,N,0700,Queens
US1NYQN0029,20190106,PRCP,69,NA,NA,N,0700,Queens
US1NYRC0001,20190106,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190106,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190106,PRCP,66,NA,NA,N,0800,Staten
US1NYNY0074,20190107,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190107,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190107,PRCP,0,T,NA,N,0700,Queens
US1NYRC0001,20190107,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190107,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190107,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190107,SNOW,0,NA,NA,N,0700,Staten
US1NYKN0025,20190108,SNWD,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190108,DAPR,5,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190108,MDPR,127,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190108,PRCP,20,NA,NA,N,0700,Manhattan
US1NYQN0027,20190108,PRCP,18,NA,NA,N,0700,Queens
US1NYQN0029,20190108,PRCP,23,NA,NA,N,0700,Queens
US1NYRC0002,20190108,PRCP,15,NA,NA,N,0700,Staten
US1NYRC0002,20190108,SNWD,0,NA,NA,N,0700,Staten
US1NYRC0002,20190108,WESD,0,NA,NA,N,0700,Staten
US1NYKN0025,20190109,PRCP,58,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190109,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190109,PRCP,38,NA,NA,N,0700,Manhattan
US1NYQN0027,20190109,PRCP,58,NA,NA,N,0700,Queens
US1NYQN0029,20190109,PRCP,48,NA,NA,N,0700,Queens
US1NYRC0001,20190109,PRCP,79,NA,NA,N,0600,Staten
US1NYRC0002,20190109,PRCP,53,NA,NA,N,0700,Staten
US1NYKN0025,20190110,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190110,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190110,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190110,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190110,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190110,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190110,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190110,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190110,SNOW,0,NA,NA,N,0700,Staten
US1NYKN0025,20190111,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190111,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190111,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190111,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190111,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190111,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190111,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190111,PRCP,0,T,NA,N,0700,Staten
US1NYRC0002,20190111,SNOW,0,T,NA,N,0700,Staten
US1NYRC0002,20190111,SNWD,0,NA,NA,N,0700,Staten
US1NYRC0002,20190111,WESD,0,NA,NA,N,0700,Staten
US1NYRC0002,20190111,WESF,0,T,NA,N,0700,Staten
US1NYKN0025,20190112,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190112,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190112,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190112,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190112,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190112,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190112,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190112,PRCP,0,NA,NA,N,0800,Staten
US1NYRC0002,20190112,SNOW,0,NA,NA,N,0800,Staten
US1NYKN0025,20190113,PRCP,0,T,NA,N,0700,Brooklyn
US1NYKN0025,20190113,SNOW,0,T,NA,N,0700,Brooklyn
US1NYNY0074,20190113,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190113,PRCP,0,T,NA,N,0700,Queens
US1NYQN0029,20190113,PRCP,0,T,NA,N,0700,Queens
US1NYQN0029,20190113,SNOW,0,T,NA,N,0700,Queens
US1NYQN0029,20190113,SNWD,0,T,NA,N,0700,Queens
US1NYRC0001,20190113,PRCP,0,T,NA,N,0600,Staten
US1NYRC0002,20190113,PRCP,3,NA,NA,N,0800,Staten
US1NYRC0002,20190113,SNOW,3,NA,NA,N,0800,Staten
US1NYRC0002,20190113,SNWD,3,NA,NA,N,0800,Staten
US1NYRC0002,20190113,WESD,3,NA,NA,N,0800,Staten
US1NYRC0002,20190113,WESF,3,NA,NA,N,0800,Staten
US1NYKN0025,20190114,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190114,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190114,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190114,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0027,20190114,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190114,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190114,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190114,PRCP,0,T,NA,N,0600,Staten
US1NYRC0002,20190114,SNOW,0,T,NA,N,0600,Staten
US1NYRC0002,20190114,SNWD,0,NA,NA,N,0600,Staten
US1NYRC0002,20190114,WESD,0,NA,NA,N,0600,Staten
US1NYRC0002,20190114,WESF,0,T,NA,N,0600,Staten
US1NYKN0025,20190115,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190115,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190115,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190115,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0027,20190115,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190115,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190115,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190115,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190115,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0002,20190115,SNOW,0,NA,NA,N,0600,Staten
US1NYKN0025,20190116,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190116,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190116,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190116,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0027,20190116,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190116,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190116,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190116,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0002,20190116,SNOW,0,NA,NA,N,0600,Staten
US1NYKN0025,20190117,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190117,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190117,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190117,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0027,20190117,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190117,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190117,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190117,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190117,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0002,20190117,SNOW,0,NA,NA,N,0600,Staten
US1NYKN0025,20190118,PRCP,13,NA,NA,N,0700,Brooklyn
US1NYQN0026,20190118,PRCP,8,NA,NA,N,0700,Queens
US1NYQN0027,20190118,PRCP,8,NA,NA,N,0700,Queens
US1NYQN0027,20190118,SNOW,8,NA,NA,N,0700,Queens
US1NYQN0027,20190118,SNWD,8,NA,NA,N,0700,Queens
US1NYRC0001,20190118,PRCP,13,NA,NA,N,0600,Staten
US1NYRC0001,20190118,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190118,PRCP,10,NA,NA,N,0800,Staten
US1NYRC0002,20190118,SNOW,10,NA,NA,N,0800,Staten
US1NYRC0002,20190118,SNWD,10,NA,NA,N,0800,Staten
US1NYRC0002,20190118,WESD,10,NA,NA,N,0800,Staten
US1NYRC0002,20190118,WESF,10,NA,NA,N,0800,Staten
US1NYQN0027,20190119,PRCP,0,T,NA,N,0700,Queens
US1NYQN0029,20190119,PRCP,13,NA,NA,N,0700,Queens
US1NYRC0002,20190119,PRCP,0,T,NA,N,0800,Staten
US1NYRC0002,20190119,SNOW,0,T,NA,N,0800,Staten
US1NYRC0002,20190119,SNWD,0,NA,NA,N,0800,Staten
US1NYRC0002,20190119,WESD,0,NA,NA,N,0800,Staten
US1NYRC0002,20190119,WESF,0,T,NA,N,0800,Staten
US1NYKN0025,20190120,SNWD,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190120,DAPR,2,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190120,MDPR,366,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190120,PRCP,345,NA,NA,N,0800,Manhattan
US1NYNY0074,20190120,SNOW,13,NA,NA,N,0800,Manhattan
US1NYQN0027,20190120,PRCP,343,NA,NA,N,0837,Queens
US1NYQN0029,20190120,PRCP,318,NA,NA,N,0700,Queens
US1NYRC0001,20190120,PRCP,297,NA,NA,N,0600,Staten
US1NYRC0002,20190120,PRCP,442,NA,NA,N,0900,Staten
US1NYRC0002,20190120,SNOW,0,NA,NA,N,0900,Staten
US1NYRC0002,20190120,SNWD,0,NA,NA,N,0900,Staten
US1NYRC0002,20190120,WESD,0,NA,NA,N,0900,Staten
US1NYRC0002,20190120,WESF,0,NA,NA,N,0900,Staten
US1NYKN0025,20190121,PRCP,43,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190121,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190121,PRCP,33,NA,NA,N,0700,Manhattan
US1NYQN0027,20190121,PRCP,28,NA,NA,N,0700,Queens
US1NYQN0029,20190121,PRCP,69,NA,NA,N,0700,Queens
US1NYRC0001,20190121,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190121,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190121,PRCP,5,NA,NA,N,0800,Staten
US1NYKN0025,20190122,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190122,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190122,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190122,DAPR,4,NA,NA,N,0700,Queens
US1NYQN0026,20190122,MDPR,376,NA,NA,N,0700,Queens
US1NYQN0027,20190122,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190122,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190122,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190122,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190122,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190122,SNOW,0,NA,NA,N,0700,Staten
US1NYKN0025,20190123,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190123,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190123,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190123,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190123,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190123,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190123,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190123,SNOW,0,NA,NA,N,0700,Staten
US1NYKN0025,20190124,PRCP,36,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190124,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190124,PRCP,51,NA,NA,N,0730,Manhattan
US1NYQN0026,20190124,PRCP,30,NA,NA,N,0800,Queens
US1NYQN0027,20190124,PRCP,3,NA,NA,N,0628,Queens
US1NYQN0029,20190124,PRCP,13,NA,NA,N,0700,Queens
US1NYRC0001,20190124,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190124,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190124,PRCP,5,NA,NA,N,0600,Staten
US1NYKN0025,20190125,PRCP,246,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190125,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190125,PRCP,251,NA,NA,N,0700,Manhattan
US1NYQN0026,20190125,PRCP,295,NA,NA,N,0700,Queens
US1NYQN0027,20190125,PRCP,373,NA,NA,N,0700,Queens
US1NYQN0029,20190125,PRCP,389,NA,NA,N,0700,Queens
US1NYRC0001,20190125,PRCP,119,NA,NA,N,0600,Staten
US1NYRC0002,20190125,PRCP,292,NA,NA,N,0700,Staten
US1NYKN0025,20190126,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190126,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190126,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190126,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190126,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190126,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190126,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190126,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190126,SNOW,0,NA,NA,N,0700,Staten
US1NYKN0025,20190127,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190127,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190127,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190127,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190127,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190127,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190127,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190127,SNOW,0,NA,NA,N,0700,Staten
US1NYKN0025,20190128,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190128,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190128,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190128,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190128,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190128,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190128,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190128,PRCP,0,NA,NA,N,0800,Staten
US1NYRC0002,20190128,SNOW,0,NA,NA,N,0800,Staten
US1NYKN0025,20190129,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190129,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYQN0026,20190129,DAPR,4,NA,NA,N,0700,Queens
US1NYQN0026,20190129,MDPR,0,NA,NA,N,0700,Queens
US1NYQN0027,20190129,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190129,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190129,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190129,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190129,PRCP,0,NA,NA,N,0800,Staten
US1NYRC0002,20190129,SNOW,0,NA,NA,N,0800,Staten
US1NYKN0025,20190130,PRCP,53,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190130,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190130,PRCP,61,NA,NA,N,0700,Manhattan
US1NYQN0029,20190130,PRCP,61,NA,NA,N,0700,Queens
US1NYRC0001,20190130,PRCP,51,NA,NA,N,0600,Staten
US1NYRC0002,20190130,PRCP,41,NA,NA,N,0800,Staten
US1NYKN0025,20190131,PRCP,0,T,NA,N,0700,Brooklyn
US1NYKN0025,20190131,SNOW,0,T,NA,N,0700,Brooklyn
US1NYQN0026,20190131,PRCP,0,T,NA,N,0700,Queens
US1NYQN0027,20190131,PRCP,0,T,NA,N,0700,Queens
US1NYQN0029,20190131,PRCP,8,NA,NA,N,0700,Queens
US1NYRC0001,20190131,PRCP,0,T,NA,N,0600,Staten
US1NYRC0002,20190131,PRCP,3,NA,NA,N,0800,Staten
US1NYRC0002,20190131,SNOW,3,NA,NA,N,0800,Staten
US1NYRC0002,20190131,WESF,3,NA,NA,N,0800,Staten
US1NYKN0025,20190201,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190201,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190201,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190201,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0027,20190201,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190201,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190201,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190201,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190201,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0002,20190201,SNOW,0,NA,NA,N,0600,Staten
US1NYNY0074,20190202,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190202,PRCP,0,NA,L,N,0700,Queens
US1NYQN0027,20190202,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190202,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190202,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190202,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190202,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190202,SNOW,0,NA,NA,N,0700,Staten
US1NYNY0074,20190203,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190203,PRCP,0,NA,L,N,0700,Queens
US1NYQN0027,20190203,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190203,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190203,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190203,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190203,PRCP,0,NA,NA,N,0800,Staten
US1NYRC0002,20190203,SNOW,0,NA,NA,N,0800,Staten
US1NYNY0074,20190204,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190204,PRCP,0,NA,L,N,0700,Queens
US1NYQN0027,20190204,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190204,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190204,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190204,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190204,SNOW,0,NA,NA,N,0700,Staten
US1NYKN0025,20190205,SNWD,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190205,DAPR,4,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190205,MDPR,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190205,WESD,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190205,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190205,PRCP,0,NA,L,N,0700,Queens
US1NYQN0026,20190205,DAPR,4,NA,L,N,0700,Queens
US1NYQN0026,20190205,MDPR,0,NA,L,N,0700,Queens
US1NYQN0027,20190205,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190205,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190205,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190205,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190205,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190205,SNOW,0,NA,NA,N,0700,Staten
US1NYKN0025,20190206,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190206,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190206,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190206,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0027,20190206,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190206,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190206,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190206,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190206,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0002,20190206,SNOW,0,NA,NA,N,0600,Staten
US1NYKN0025,20190207,PRCP,145,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190207,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190207,PRCP,152,NA,NA,N,0719,Manhattan
US1NYQN0027,20190207,PRCP,137,NA,NA,N,0700,Queens
US1NYQN0029,20190207,PRCP,152,NA,NA,N,0700,Queens
US1NYRC0001,20190207,PRCP,157,NA,NA,N,0600,Staten
US1NYRC0002,20190207,PRCP,137,NA,NA,N,0700,Staten
US1NYKN0025,20190208,PRCP,71,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190208,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190208,PRCP,84,NA,NA,N,0723,Manhattan
US1NYQN0029,20190208,PRCP,61,NA,NA,N,0700,Queens
US1NYRC0001,20190208,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190208,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190208,PRCP,56,NA,NA,N,0700,Staten
US1NYKN0025,20190209,PRCP,20,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190209,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190209,PRCP,13,NA,NA,N,0700,Manhattan
US1NYQN0027,20190209,DAPR,2,NA,NA,N,0700,Queens
US1NYQN0027,20190209,MDPR,122,NA,NA,N,0700,Queens
US1NYQN0029,20190209,PRCP,18,NA,NA,N,0700,Queens
US1NYRC0001,20190209,PRCP,61,NA,NA,N,0600,Staten
US1NYRC0002,20190209,PRCP,18,NA,NA,N,0800,Staten
US1NYKN0025,20190210,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190210,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190210,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0027,20190210,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0029,20190210,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190210,PRCP,0,T,NA,N,0600,Staten
US1NYRC0002,20190210,PRCP,0,NA,NA,N,0800,Staten
US1NYRC0002,20190210,SNOW,0,NA,NA,N,0800,Staten
US1NYKN0025,20190211,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190211,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190211,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0026,20190211,DAPR,3,NA,NA,N,0700,Queens
US1NYQN0026,20190211,MDPR,231,NA,NA,N,0700,Queens
US1NYQN0029,20190211,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0002,20190211,PRCP,5,NA,NA,N,0700,Staten
US1NYRC0002,20190211,SNOW,3,NA,NA,N,0700,Staten
US1NYRC0002,20190211,WESF,5,NA,NA,N,0700,Staten
US1NYKN0025,20190212,PRCP,0,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190212,SNOW,0,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190212,PRCP,0,NA,NA,N,0700,Manhattan
US1NYQN0029,20190212,PRCP,0,NA,NA,N,0700,Queens
US1NYRC0001,20190212,PRCP,0,NA,NA,N,0600,Staten
US1NYRC0001,20190212,SNOW,0,NA,NA,N,0600,Staten
US1NYRC0002,20190212,PRCP,0,NA,NA,N,0700,Staten
US1NYRC0002,20190212,SNOW,0,NA,NA,N,0700,Staten
US1NYKN0025,20190213,PRCP,211,NA,NA,N,0700,Brooklyn
US1NYKN0025,20190213,SNOW,15,NA,NA,N,0700,Brooklyn
US1NYNY0074,20190213,PRCP,262,NA,NA,N,0700,Manhattan
US1NYQN0026,20190213,PRCP,180,NA,NA,N,0700,Queens
US1NYQN0027,20190213,PRCP,0,NA,NA,N,0700,Queens
US1NYQN0027,20190213,SNWD,33,NA,NA,N,0700,Queens
US1NYRC0001,20190213,PRCP,254,NA,NA,N,0600,Staten
US1NYRC0002,20190213,PRCP,236,NA,NA,N,0700,Staten
US1NYRC0002,20190213,SNOW,28,NA,NA,N,0700,Staten
US1NYRC0002,20190213,SNWD,13,NA,NA,N,0700,Staten
US1NYRC0002,20190213,WESF,236,NA,NA,N,0700,Staten
US1NYKN0025,20190214,PRCP,0,NA,NA,N,0700,Brooklyn
